City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Maua,BR,82.36,scattered clouds,-23.67,-46.46,Hotel Capriccio Mauá
457,Sirjan,IR,75.15,few clouds,29.45,55.68,هتل عطرسیب سیرجان
463,La Asuncion,VE,89.33,scattered clouds,11.03,-63.86,Colinas de Matasiete
471,San Luis,AR,80.92,clear sky,-33.3,-66.34,Huarpes Hotel
473,Contai,IN,79.95,clear sky,21.78,87.75,Hotel Hindusthan
475,Puerto Morazan,NI,84.97,broken clouds,12.85,-87.17,Iglesia de Dios de la profecia
487,Grand-Lahou,CI,85.39,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
489,Labuan,MY,79.16,few clouds,5.28,115.24,Tiara Labuan Hotel
495,Rosita,NI,84.11,overcast clouds,13.93,-84.4,Quinta El Chino Law
499,Mecca,SA,89.98,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
501,Tshikapa,CD,87.93,few clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
502,Komsomolskiy,UZ,75.92,overcast clouds,40.43,71.72,Ikathouse
503,Vanimo,PG,77.79,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
507,Inongo,CD,79.9,few clouds,-1.95,18.27,Hotel Du Lac
514,Jacareacanga,BR,84.0,scattered clouds,-6.22,-57.75,Casa do Ian😎
526,Salinopolis,BR,75.85,moderate rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
527,Saint-Pierre,RE,77.29,few clouds,-21.34,55.48,Lindsey Hôtel
539,Fare,PF,81.14,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
546,Saint-Georges,GD,85.68,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
548,Ambilobe,MG,76.15,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
549,Moa,CU,84.04,clear sky,20.66,-74.94,Carmen
552,Itarema,BR,83.12,light rain,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
557,Presidente Medici,BR,83.19,overcast clouds,-11.18,-61.9,Oliveira Palace Hotel
563,Banposh,IN,87.73,clear sky,22.25,84.8,MAYFAIR Rourkela
569,Inirida,CO,88.39,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
582,Meulaboh,ID,78.44,overcast clouds,4.14,96.13,Kost Pria
588,Almeirim,BR,81.39,overcast clouds,-1.52,-52.58,Ricácio Hotel
589,Kavali,IN,80.51,few clouds,14.92,79.98,Hotel Mourya Paradise
590,San Clemente,US,83.16,clear sky,33.43,-117.61,Casablanca Inn
591,Mount Isa,AU,80.37,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
597,Ndjole,GA,87.62,broken clouds,-0.18,10.76,Motel Kédyann
598,Boueni,YT,85.98,few clouds,-12.9,45.08,The feet in water
608,Gharghoda,IN,87.58,clear sky,22.17,83.35,"Gharghoda, Rest House"
609,Port Blair,IN,82.44,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
612,Mahanoro,MG,77.63,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
614,Veraval,IN,86.7,broken clouds,20.9,70.37,Lords Inn Somnath
626,Talara,PE,75.96,clear sky,-4.58,-81.27,Hostal Oro Negro
634,Santa Catalina,PH,75.83,overcast clouds,9.33,122.86,BreakWater Beach Sta Catalina Negros Oriental
