City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Hualmay,PE,2022-04-07 17:54:37,-11.0964,-77.6139,74.75,72,55,11.95
131,Vorobyevka,RU,2022-04-07 17:54:38,50.6451,40.9245,49.46,69,97,8.48
132,Valleyview,CA,2022-04-07 17:54:38,55.0667,-117.2859,42.84,36,88,8.05
133,Laguna,US,2022-04-07 17:54:39,38.421,-121.4238,84.02,42,0,5.75
134,San Jose,US,2022-04-07 17:54:39,37.3394,-121.895,87.42,33,0,4.61
135,Hasaki,JP,2022-04-07 17:54:39,35.7333,140.8333,50.4,88,8,14.5
136,Porbandar,IN,2022-04-07 17:54:40,21.6422,69.6093,84.79,55,55,9.69
137,Mao,ES,2022-04-07 17:54:40,39.8885,4.2658,59.56,82,0,16.11
138,Samarai,PG,2022-04-07 17:54:40,-10.6167,150.6667,80.38,81,100,11.03
139,Torbay,CA,2022-04-07 17:54:41,47.6666,-52.7314,38.28,95,100,16.11
140,Salinopolis,BR,2022-04-07 17:54:41,-0.6136,-47.3561,77.65,90,100,6.73
141,Paamiut,GL,2022-04-07 17:54:41,61.994,-49.6678,26.58,79,83,21.68
142,Quatre Cocos,MU,2022-04-07 17:54:41,-20.2078,57.7625,78.91,83,65,13.15
143,Daru,PG,2022-04-07 17:54:42,-9.0763,143.2092,79.18,83,84,9.31
144,Karcsa,HU,2022-04-07 17:54:42,48.3113,21.8054,55.08,84,96,8.93
145,Havoysund,NO,2022-04-07 17:54:43,70.9963,24.6622,35.83,87,100,21.79
146,Bajos De Haina,DO,2022-04-07 17:54:43,18.4154,-70.0332,85.96,66,40,9.22
147,Arraial Do Cabo,BR,2022-04-07 17:51:57,-22.9661,-42.0278,80.56,69,20,11.5
148,Barrow,US,2022-04-07 17:54:43,71.2906,-156.7887,-3.86,97,99,3.89
149,Imbituba,BR,2022-04-07 17:50:57,-28.24,-48.6703,78.82,70,78,12.55
150,Kaitangata,NZ,2022-04-07 17:54:44,-46.2817,169.8464,50.68,63,69,14.07
151,Port Lincoln,AU,2022-04-07 17:54:44,-34.7333,135.8667,60.12,88,45,7.7
152,Ketou,BJ,2022-04-07 17:54:44,7.3633,2.5998,87.71,54,51,10.67
153,Tasiilaq,GL,2022-04-07 17:54:45,65.6145,-37.6368,23.05,92,100,11.03
154,Kruisfontein,ZA,2022-04-07 17:54:45,-34.0033,24.7314,56.88,72,27,8.9
155,Cabedelo,BR,2022-04-07 17:54:46,-6.9811,-34.8339,86.67,70,100,11.39
156,Talant,FR,2022-04-07 17:54:46,47.3369,5.0089,52.41,87,100,10.36
157,Kavieng,PG,2022-04-07 17:54:46,-2.5744,150.7967,79.57,82,100,1.34
158,Bredasdorp,ZA,2022-04-07 17:54:47,-34.5322,20.0403,57.69,71,45,5.68
159,Taoudenni,ML,2022-04-07 17:54:47,22.6783,-3.9836,94.75,8,3,9.8
160,Beyneu,KZ,2022-04-07 17:54:47,45.3167,55.2,60.51,48,54,15.52
161,Bucerias,MX,2022-04-07 17:54:48,20.75,-105.3333,83.46,54,51,8.1
162,Yulara,AU,2022-04-07 17:54:48,-25.2406,130.9889,62.44,45,0,5.75
163,Bainbridge,US,2022-04-07 17:51:11,47.6262,-122.5212,65.59,60,0,1.01
164,Novoselytsya,UA,2022-04-07 17:54:49,48.2193,26.2653,56.17,46,95,10.07
165,Aleksandrov Gay,RU,2022-04-07 17:54:49,50.147,48.5704,51.19,71,33,8.7
166,Aktash,RU,2022-04-07 17:54:49,50.3,87.7333,26.8,91,92,3.74
167,San Patricio,US,2022-04-07 17:51:33,28.017,-97.5169,78.89,14,0,16.04
168,Tutoia,BR,2022-04-07 17:54:50,-2.7619,-42.2744,81.75,80,95,10.83
169,Chernyshevskiy,RU,2022-04-07 17:54:50,63.0128,112.4714,19.31,95,100,8.39
170,Roald,NO,2022-04-07 17:54:50,62.5833,6.1333,40.12,48,0,16.11
171,Tsabong,BW,2022-04-07 17:54:51,-26.0217,22.401,69.8,22,3,9.15
172,Ribeira Grande,PT,2022-04-07 17:54:51,38.5167,-28.7,64.8,82,40,18.41
173,Praia,CV,2022-04-07 17:53:31,14.9215,-23.5087,79.34,47,20,21.85
174,Norman Wells,CA,2022-04-07 17:54:51,65.282,-126.8329,21.24,58,0,10.36
175,Quelimane,MZ,2022-04-07 17:50:23,-17.8786,36.8883,80.55,88,75,5.99
176,Vila Velha,BR,2022-04-07 17:52:09,-20.3297,-40.2925,84.15,74,75,14.97
177,Ancud,CL,2022-04-07 17:54:52,-41.8697,-73.8203,57.22,89,100,5.12
178,Provideniya,RU,2022-04-07 17:52:49,64.3833,-173.3,-5.8,89,96,2.51
179,Leczna,PL,2022-04-07 17:54:52,51.3012,22.8814,57.51,72,0,6.91
180,Dickinson,US,2022-04-07 17:54:53,29.4608,-95.0513,74.16,29,0,10.0
181,Boende,CD,2022-04-07 17:54:53,-0.2167,20.8667,75.52,76,49,3.78
182,Bandarbeyla,SO,2022-04-07 17:54:53,9.4942,50.8122,80.49,76,21,9.6
183,Porto Santo,PT,2022-04-07 17:54:54,33.072,-16.3415,64.78,63,20,6.91
184,Gouyave,GD,2022-04-07 17:54:54,12.1646,-61.7296,83.17,74,20,20.71
185,Port Blair,IN,2022-04-07 17:54:54,11.6667,92.75,80.64,89,40,0.0
186,Mount Gambier,AU,2022-04-07 17:54:55,-37.8333,140.7667,55.31,94,0,9.22
187,Unai,BR,2022-04-07 17:54:55,-16.3575,-46.9061,90.57,35,19,1.86
188,Lorengau,PG,2022-04-07 17:54:55,-2.0226,147.2712,81.03,83,100,15.84
189,Weingarten,DE,2022-04-07 17:54:56,47.8,9.6333,53.78,75,75,26.46
190,Cadillac,US,2022-04-07 17:52:44,44.2519,-85.4012,40.08,75,100,9.22
191,Barcelos,PT,2022-04-07 17:54:56,41.5388,-8.6151,58.84,83,100,8.63
192,Codrington,AU,2022-04-07 17:51:06,-38.2667,141.9667,54.77,92,3,7.74
